Publication Type;Article Title;Abstract;Publication Year;DOI
J;Hyperspectral Imaging with Stimulated Raman Scattering by Chirped Femtosecond Lasers;Raman microscopy is a quantitative, label-free, and noninvasive optical imaging technique for studying inhomogeneous systems. However, the feebleness of Raman scattering significantly limits the use of Raman microscopy to low time resolutions and primarily static samples. Recent developments in narrowband stimulated Raman scattering (SRS) microscopy have significantly increased the acquisition speed of Raman based label-free imaging by a,few orders of magnitude, at the expense of reduced spectroscopic information. On the basis of a spectral focusing approach, we present a fast SRS hyperspectral imaging system using chirped femtosecond lasers to achieve rapid Raman spectra acquisition while retaining the full speed and image quality of narrowband SRS imaging. We demonstrate that quantitative concentration determination of cholesterol in the presence of interfering chemical species can be achieved with sensitivity down to 4 mM. For imaging purposes, hyperspectral imaging data in the C-H stretching region is obtained within a minute. We show that mammalian cell SRS hyperspectral imaging reveals the spatially inhomogeneous distribution of saturated lipids, unsaturated lipids, cholesterol, and protein. The combination of fast spectroscopy and label free chemical imaging will enable new applications in studying biological systems and material systems.;2013;10.1021/jp308938t
C;Multimode optical dermoscopy (SkinSpect (TM)) analysis for skin with melanocytic nevus;We have developed a multimode dermoscope (SkinSpect (TM)) capable of illuminating human skin samples in-vivo with spectrally-programmable linearly-polarized light at 33 wavelengths between 468nm and 857 nm. Diffusely reflected photons are separated into collinear and cross-polarized image paths and images captured for each illumination wavelength. In vivo human skin nevi (N = 20) were evaluated with the multimode dermoscope and melanin and hemoglobin concentrations were compared with Spatially Modulated Quantitative Spectroscopy (SMoQS) measurements. Both systems show low correlation between their melanin and hemoglobin concentrations, demonstrating the ability of the SkinSpect (TM) to separate these molecular signatures and thus act as a biologically plausible device capable of early onset melanoma detection.;2016;10.1117/12.2214288
C;Small Animal Optical Multispectral Cerenkov Tomography;A novel pre-clinical imaging modality called Cerenkov luminescence imaging (CLI) has been recently introduced for small animals in vivo imaging. CLI is based on the detection of optical Cerenkov radiation generated by beta particles as they travel into the animal tissues with energy greater than Cerenkov threshold. The main goal of this work is the development of a novel optical image reconstruction method called multi spectral Cerenkov luminescence tomography (msCLT). The starting point of the msCLT reconstruction scheme is a set of 2D planar images acquired using several narrow bandpass filters. Because of the different tissues absorption at different wavelengths this provide distinctive information content that can be used for image reconstruction. More precisely the msCLT algorithm is based on a regularized iterative non-negative scheme in order to find the unknown source intensity solution, the theoretical Cerenkov emission spectrum was also included in the algorithm. In order to investigate the performances of the msCLT approach in vitro and in vivo imaging using (32)p-ATP were performed by using the IVIS 200 (Caliper, a PerkinElmer company). A set of spatial resolution measurements were performed using a small capillary source placed between several slices of chicken breast at different depths. The spatial resolution obtained from the msCLT reconstructed images of the capillary showed that the FWHM is 1.5 mm for a source placed at 6 mm depth. In order to investigate the in vivo performances of the msCLT reconstruction method, a control nude mice injected with 10 MBq of 32P-ATP were imaged. Whole body MRI was acquired to provide an anatomical localization of the Cerenkov emission. msCLT reconstructed images co-registered with MRI images showed that the Cerenkov emission regions matches well with anatomical regions, such as the brain, heart and abdomen. These results were also confirmed by ex vivo imaging of organs such as intestine, brain, heart and ribs.;2011;
J;Enhanced hyperspectral tomography for bioimaging by spatiospectral reconstruction;Here we apply hyperspectral bright field imaging to collect computed tomographic images with excellent energy resolution (similar to 1 keV), applying it for the first time to map the distribution of stain in a fixed biological sample through its characteristic K-edge. Conventionally, because the photons detected at each pixel are distributed across as many as 200 energy channels, energy-selective images are characterised by low count-rates and poor signal-to-noise ratio. This means high X-ray exposures, long scan times and high doses are required to image unique spectral markers. Here, we achieve high quality energy-dispersive tomograms from low dose, noisy datasets using a dedicated iterative reconstruction algorithm. This exploits the spatial smoothness and inter-channel structural correlation in the spectral domain using two carefully chosen regularisation terms. For a multi-phase phantom, a reduction in scan time of 36 times is demonstrated. Spectral analysis methods including K-edge subtraction and absorption step-size fitting are evaluated for an ex vivo, single (iodine)-stained biological sample, where low chemical concentration and inhomogeneous distribution can affect soft tissue segmentation and visualisation. The reconstruction algorithms are available through the open-source Core Imaging Library. Taken together, these tools offer new capabilities for visualisation and elemental mapping, with promising applications for multiply-stained biological specimens.;2021;10.1038/s41598-021-00146-4
J;A Molecular Imaging Paradigm to Rapidly Profile Response to Angiogenesis-directed Therapy in Small Animals;The development of novel angiogenesis-directed therapeutics is hampered by the lack of non-invasive imaging metrics capable of assessing treatment response. We report the development and validation of a novel molecular imaging paradigm to rapidly assess response to angiogenesis-directed therapeutics in preclinical animal models. A monoclonal antibody-based optical imaging probe targeting vascular endothelial growth factor receptor-2 (VEGFR2) expression was synthesized and evaluated in vitro and in vivo via multispectral fluorescence imaging. The optical imaging agent demonstrated specificity for the target receptor in cultured endothelial cells and in vivo. The agent exhibited significant accumulation within 4T1 xenograft tumors. Mice bearing 4T1 xenografts and treated with sunitinib exhibited both tumor growth arrest and decreased accumulation of NIR800-alpha VEGFR2ab compared to untreated cohorts (p = 0.0021). Molecular imaging of VEGFR2 expression is a promising non-invasive biomarker for assessing angiogenesis and evaluating the efficacy of angiogenesis-directed therapies.;2009;10.1007/s11307-008-0193-9
J;In vivo validation of tissue segmentation based on a 3D feature map using both a hamster brain tumor model and stereotactically guided biopsy of brain tumors in man;The purpose of this study was to validate our MR tissue segmentation technique using a hamster brain tumor model and malignant brain tumors in man. We used a multispectral tissue segmentation analysis. Three sets of MRI data were included: proton density, T2-weighted fast spin echo, and T1-weighted spin echo, as inputs. Three image preprocessing steps included correcting image nonuniformity, application of an anisotropic diffusion type filter, and data point selection by a qualified observer. We used the Er-Nearest Neighbor segmentation algorithm, which does not require prior knowledge of the sample distribution. This choice allowed us to optimize the different tissue clusters present in three-dimensional (3D) feature space. In vivo validation of the technique was performed in hamsters harboring tumors induced with JC virus-transformed HJC-15 cells, as compared to three control animals. Human brain tumors obtained by stereotactically guided biopsy in six patients were also included in the study. Finally, brain tumors were removed from two patients who underwent conventional craniotomy using segmentation-derived images as a guide. In the hamsters, 10 tissues were correctly identified by segmentation and were confirmed histologically (P <.02). In the patients, there was also a strong correlation between our segmentation results and the tissue obtained by stereotactic biopsy (P <.01). In one of the two patients who underwent open craniotomy, segmentation images were useful in revealing tumor spread into vital areas of the brain (motor area). In conclusion, the results of segmentation correlate well with the tissues in vivo and thus warrant further clinical utilization and evaluation.;1998;10.1002/jmri.1880080410
J;Protoporphyrin incorporated alginate hydrogel: preparation, characterization and fluorescence imaging in vivo;Fluorescence imaging provides a non-invasive tool for locating, monitoring and tracking implanted biomaterials in situ. Since alginate hydrogels have been widely applied as scaffolds for tissue engineering, delivery carriers or extracellular matrices, the in vivo status of alginate hydrogels is necessary and important to their applications. Herein, a protoporphyrin incorporated alginate hydrogel was prepared using PEG as a linker. The structure and properties were investigated with rheological analysis, thermogravimetric analysis, and UV-visible and fluorescence spectrophotometry. Hydrogel erosion and drug delivery in vivo were monitored and tracked using a multispectral fluorescence imaging system with nude mice as models. The results show that the protoporphyrin incorporated alginate hydrogel exhibits fluorescence ability in vivo with good biocompatibility. With the guidance of fluorescence imaging, the in vivo status of hydrogels can be reflected in situ. Protoporphyrin based biomaterials have potential for application in in vivo monitoring and tracking using fluorescence imaging.;2015;10.1039/c5ra19285d
J;Current and Emerging Clinical Applications of Multispectral Optoacoustic Tomography (MSOT) in Oncology;"Accurate detection and characterization of cancers are key for providing timely intervention and effective treatments. Current imaging technologies are particularly limited when it comes to detecting very small tumors in vivo, i.e., very early cancers or metastases, differentiating viable tumor from surrounding dead tumor tissue, and evaluating tumor metabolism within tissue. Optoacoustic imaging offers potential solutions to these imaging problems because of its ability to image optical absorption properties of both intrinsic tissue chromophores and exogenous contrast agents without the involvement of ionizing radiation. Optoacoustic imaging uses pulsed laser to induce localized thermoelastic expansion that generates acoustic waves detectable by an ultrasound transducer. To date, multispectral optoacoustic tomography (MSOT) has primarily been used in preclinical research; however, its use in translational and clinical research is expanding. This review focuses on current and emerging applications of optoacoustic imaging for molecular imaging of cancer using both exogenous and endogenous contrast agents and sheds light on potential future clinical applications. (C) 2016 AACR.";2016;10.1158/1078-0432.CCR-16-0573
J;A polarized multispectral imaging system for quantitative assessment of hypertrophic scars;Hypertrophic scars (HTS) are a pathologic reaction of the skin and soft tissue to burn or other traumatic injury. Scar tissue can cause patients serious functional and cosmetic issues. Scar management strategies, specifically scar assessment techniques, are vital to improve clinical outcome. To date, no entirely objective method for scar assessment has been embraced by the medical community. In this study, we introduce for the first time, a novel polarized multispectral imaging system combining out-of-plane Stokes polarimetry and Spatial Frequency Domain Imaging (SFDI). This imaging system enables us to assess the pathophysiology (hemoglobin, blood oxygenation, water, and melanin) and structural features (cellularity and roughness) of HTS. To apply the proposed technique in an in vivo experiment, dermal wounds were created in a porcine model and allowed to form into scars. The developed scars were then measured at various time points using the imaging system. Results showed a good agreement with clinical Vancouver Scar Scale assessment and histological examinations. (C) 2014 Optical Society of America;2014;10.1364/BOE.5.003337
J;Spectrally programmable light engine for in vitro or in vivo molecular imaging and spectroscopy;A spectrally and temporally programmable light engine can create any spectral profile for hyperspectral, fluorescence, or principal-component imaging or with medical photonics devices employing spectroscopy, microscopy, and endoscopy. Multispectral imaging feasibility was demonstrated by capturing nine images at wavelengths from 450 to 650 mm (25-nm FWHM) with a CCD-camera-equipped bronchoscope coupled to the light engine. Selected wavelength regions were combined to produce a color endoscopy image. (c) 2005 Optical Society of America.;2005;10.1364/AO.44.002033
J;Relaxo-volumetric multispectral quantitative magnetic resonance imaging of the brain over the human lifespan: global and regional aging patterns;"The objective of this study-was to determine the T1, T2 and secular-T2 relaxo-volumetric brain aging patterns using multispectral quantitative magnetic resonance imaging, both globally and regionally, and covering an age range approaching the full human lifespan. Fifty-one subjects (28 males, 23 females; age range: 0.5-87 years) were studied consisting of 18 healthy volunteers and 33 patients. Patients were selected after carefully reviewing their radiology reports to have either normal-by-MRI findings (25 patient subjects) or small focal pathology less than 6 mm in size (eight patient subjects). All subjects were MR imaged at 1.5 T with the mixed turbo spin echo pulse sequence. The soft tissues inside the cranial vault, termed intracranial matter (ICM), were segmented using a dual-clustering segmentation algorithm. ICM segments were further divided into six subsegments: bilateral anterior cerebral, posterior cerebral and cerebellar subsegments. T1, T2 and secular-T2 relaxation time histograms of all segments were generated and modeled with Gaussian functions. For each segment, the volumes of white matter, gray matter and cerebrospinal fluid were calculated from the T1 histograms. The age-related tendencies of three quantitative MRI parameters (T1, T2 and secular-T2) and the fractional tissue volumes showed four distinct periods of life, specifically a maturation period (0-2 years), a development period (2-20 years), an adulthood period (20-60 years) and a senescence period (60 years and older). For all ages, the anterior cerebral subsegment exhibited consistently longer gray matter T1s and shorter white matter T1s than the posterior cerebral and cerebellar subsegments. Volumetric age-related changes of the cerebellar subsegment were more gradual than in the cerebral subsegments. This study shows that relaxometric and volumetric age-related changes are synchronized and define the same four periods of brain evolution both globally and regionally. (C) 2009 Elsevier Inc. All rights reserved.";2009;10.1016/j.mri.2009.05.006
C;New imaging technique using Degree Of Polarization for the study of polarimetric properties for non-invasive biomedical diagnostic;This research proposes a new imaging technique for near real time multispectral acquisition using CCD RGB cameras of the so called Degree Of Polarization (DOP) in polarimetry for future clinical investigation. The aim of exploiting the DOP as the contrast element is to demonstrate that the elliptical DOP provides more information characterizing complex medium than the more traditional linear and circular ones. The system considers an incoherent input white light beam and opportunely calibrated nematic crystals (LCVR), so no mechanical tools are necessary. The particular features of the system indicate it to be the perfect candidate for a new imaging system considering in-vivo (as well as ex-vivo) non invasive superficial diagnostic for medical application as dermatologic diagnostics, since no type of sample preparation is necessary, i.e. tissue biopsy, radiation or contrast agent injection. Thus the biomedical application of this method suggests a simple, direct, fast and also easily exploitable future employment, as a desirable mean for clinical investigation but also for digital recognition in biometrics. Further new elements to improve the model of light scattering and matter-light interaction will be acquired, in particular considering a very complete characterization of the system response using latex microspheres suspension to simulate turbid media with different concentration.;2012;10.1117/12.922676
J;Automated image analysis of digital colposcopy for the detection of cervical neoplasia;Digital colposcopy is a promising technology for the detection of cervical intraepithelial neoplasia. Automated analysis of colposcopic images could provide an inexpensive alternative to existing screening tools. Our goal is to develop a diagnostic tool that can automatically identify neoplastic tissue from digital images. A multispectral digital colposcope (MDC) is used to acquire reflectance images of the cervix with white light before and after acetic-acid application in 29 patients. A diagnostic image analysis tool is developed to identify neoplasia in the digital images. The digital image analysis is performed in two steps. First, similar optical patterns are clustered together. Second, classification algorithms are used to determine the probability that these regions contain neoplastic tissue. The classification results of each patient's images are assessed relative to the gold standard of histopathology. Acetic acid induces changes in the intensity of reflected light as well as the ratio of green to red reflected light. These changes are used to differentiate high-grade squamous intraepithelial (HGSIL) and cancerous lesions from normal or low-grade squamous intraepithelial (LGSIL) tissue. We report diagnostic performance with a sensitivity of 79% and a specificity of 88%. We show that diagnostically useful digital images of the cervix can be obtained using a simple and inexpensive device, and that automated image analysis algorithms show a potential to identify histologically neoplastic tissue areas. (C) 2008 Society of Photo-Optical Instrumentation Engineers.;2008;10.1117/1.2830654
J;Hyperspectral data influenced by sample matrix: the importance of building relevant reference spectral libraries to map materials of interest;"Hyperspectral imaging (HSI) and mapping are increasingly used for visualization and identification of nanoparticles (NPs) in a variety of matrices, including aqueous suspensions and biological samples. Reference spectral libraries (RSLs) contain hyperspectral data collected from materials of known composition and are used to detect the known materials in experimental samples through a one-to-one pixel mapping process. In some HSI studies, RSLs created from raw NPs were used to map NPs in experimental samples in a different matrix; for example, RSLs created from NPs in suspension to map NPs in biological tissue. Others have utilized RSLs created from NPs in the same matrix. However, few studies have systematically compared hyperspectral data as a function of the matrix in which the NPs are found and its impact on mapping results. The objective of this study is to compare RSLs created from metal oxide NPs in aqueous suspensions to RSLs created from the same NPs in rat tissues following in vivo inhalation exposure, and to investigate the differences in mapping that result from the use of each RSL. Results demonstrate that the spectral profiles of these NPs are matrix dependent: RSLs created from NPs in positive control tissues mapped to experimental tissues more appropriately than RSLs created from NPs in suspension. Aqueous suspension RSLs mapped 0-602 out of 500,424 pixels per tissue image while tissue RSLs mapped 689-18,435 pixels for the same images. This study underscores the need for appropriate positive controls for the creation of RSLs for mapping NPs in experimental samples.";2017;10.1002/jemt.22816
J;Use of tissue water as a concentration reference for proton spectroscopic imaging;"A strategy for using tissue water as a concentration standard in H-1 magnetic resonance spectroscopic imaging studies on the brain is presented, and the potential errors that may arise when the method is used are examined. The sensitivity of the method to errors in estimates of the different water compartment relaxation times is shown to be small at short echo times (TEs). Using data from healthy human subjects, it is shown that different image segmentation approaches that are commonly used to account for partial volume effects (SIPM2, FSL's FAST, and K-means) lead to different estimates of metabolite levels, particularly in gray matter (GM), owing primarily to variability in the estimates of the cerebrospinal fluid (CSF) fraction. While consistency does not necessarily validate a method, a multi-spectral segmentation approach using FAST yielded the lowest intersubject variability in the estimates of GM metabolites. The mean GM and white matter (WM) levels of N-acetyl groups (NAc, primarily N-acetylaspartate), choline (Ch), and creatine (Cr) obtained in these subjects using the described method with FAST multispectral segmentation are reported: GM [NAc] = 17.16 +/- 1.19 mM; WM [NAc] = 14.26 +/- 1.38 mM; GM [Ch] = 3.27 +/- 0.47 mM; WM [Ch] = 2.65 +/- 0.25 mM; GM [Cr] = 13.98 +/- 1.20 mM; and WM [Cr] = 7.10 +/- 0.67 mM.";2006;10.1002/mrm.20901
J;Review of spectral imaging technology in biomedical engineering: achievements and challenges;Spectral imaging is a technology that integrates conventional imaging and spectroscopy to get both spatial and spectral information from an object. Although this technology was originally developed for remote sensing, it has been extended to the biomedical engineering field as a powerful analytical tool for biological and biomedical research. This review introduces the basics of spectral imaging, imaging methods, current equipment, and recent advances in biomedical applications. The performance and analytical capabilities of spectral imaging systems for biological and biomedical imaging are discussed. In particular, the current achievements and limitations of this technology in biomedical engineering are presented. The benefits and development trends of biomedical spectral imaging are highlighted to provide the reader with an insight into the current technological advances and its potential for biomedical research. (c) The Authors. Published by SPIE under a Creative Commons Attribution 3.0 Unported License. Distribution or reproduction of this work in whole or in part requires full attribution of the original publication, including its DOI.;2013;10.1117/1.JBO.18.10.100901
C;Preclinical and clinical validation of a novel oxygenation imaging system;Introduction: Two major disadvantages of currently available oxygenation probes are the need for contact with the skin and long measurement stabilization times. A novel oxygenation imaging device based on spatial frequency domain and spectral principles has been designed, validated preclinically on pigs, and validated clinically on humans. Importantly, this imaging system has been designed to operate under the rigorous conditions of an operating room. Materials and Methods: Optical properties reconstruction and wavelength selection have been optimized to allow fast and reliable oxyhemoglobin and deoxyhemoglobin imaging under realistic conditions. In vivo preclinical validation against commercially available contact oxygenation probes was performed on pigs undergoing arterial and venous occlusions. Finally, the device was used clinically to image skin flap oxygenation during a pilot study on women undergoing breast reconstruction after mastectomy. Results: A novel illumination head containing a spatial light modulator (SLM) and a novel fiber-coupled high power light source were constructed. Preclinical experiments showed similar values between local probes and the oxygenation imaging system, with measurement times of the new system being < 500 msec. During pilot clinical studies, the imaging system was able to provide near real-time oxyHb, deoxyHb, and saturation measurements over large fields of view (> 300 cm(2)). Conclusion: A novel optical-based oxygenation imaging system has the potential to replace contact probes during human surgery and to provide quantitative, wide-field measurements in near real-time.;2011;10.1117/12.875603
J;Label-Free Quantitative Imaging of Cholesterol in Intact Tissues by Hyperspectral Stimulated Raman Scattering Microscopy;;2013;10.1002/anie.201306234
J;Surgical Vision;The emergence of Minimal Access Surgery (MAS) as a paradigm in modern healthcare treatment has created new challenges and opportunities for automated image understanding and computer vision. In MAS, images recovered from inside the body using specialized devices are used to visualize and operate on the surgical site but they can also be used to computationally infer in vivo 3D tissue surface shape, soft-tissue morphology, and surgical instrument motion. This information is important for facilitating in vivo biophotonic imaging modalities where the interaction between light and tissue is used to infer the structural and functional properties of the tissue. This article provides a review of the literature for computer vision and image understanding techniques applied to MAS images. The focus of this article is to elucidate a perspective on how computer vision techniques can be used to support and enhance the capabilities of biophotonic imaging modalities during surgery. Note that while MAS encompasses a variety of surgical specializations this review does not involve procedures performed in the interventional suite. The review has been carried out based on searches in the PubMed and IEEE databases using the article's keywords.;2012;10.1007/s10439-011-0441-z
J;Diffuse near-infrared imaging of tissue with picosecond time resolution;Optical imaging of biological tissue in vivo at multiple wavelengths in the near-infrared (NIR) spectral range can be achieved with picosecond time resolution at high sensitivity by time-correlated single photon counting. Measuring and analyzing the distribution of times of flight of photons randomly propagated through the tissue has been applied for diffuse optical imaging and spectroscopy, e.g. of human breast tissue and of the brain. In this article, we review the main features and the potential of NIR multispectral imaging with picosecond time resolution and illustrate them by exemplar applications in these fields. In particular, we discuss the experimental methods developed at the Physikalisch-Technische Bundesanstalt (PTB) to record optical mammograms and to quantify the absorption and scattering properties from which hemoglobin concentration and oxygen saturation of healthy and diseased breast tissue have been derived by combining picosecond time-domain and spectral information. Furthermore, optical images of functional brain activation were obtained by a non-contact scanning device exploiting the null source-detector separation approach which takes advantage of the picosecond time resolution as well. The recorded time traces of changes in the oxy- and deoxy-hemoglobin concentrations during a motor stimulation investigation show a localized response from the brain.;2018;10.1515/bmt-2017-0067
J;Hyperspectral in vivo two-photon microscopy of intrinsic contrast;In vivo two-photon imaging of intrinsic contrast can provide valuable information about structural tissue elements such as collagen and elastin and fluorescent metabolites such as nicotinamide adenine dinucleotide. Yet low signal and overlapping emission spectra can make it difficult to identify and delineate these species in vivo. We present a novel approach that combines excitation scanning with spectrally resolved emission two-photon microscopy, allowing distinct structures to be delineated based on their characteristic spectral fingerprints. The amounts of intrinsic fluorophores present in each voxel can also be evaluated. We demonstrate our method using in vivo imaging of nude mouse skin. (c) 2008 Optical Society of America;2008;10.1364/OL.33.002164
J;Computational macroscopic lifetime imaging and concentration unmixing of autofluorescence;Single-pixel computational imaging can leverage highly sensitive detectors that concurrently acquire data across spectral and temporal domains. For molecular imaging, such methodology enables to collect rich intensity and lifetime multiplexed fluorescence datasets. Herein we report on the application of a single-pixel structured light-based platform for macroscopic imaging of tissue autofluorescence. The super-continuum visible excitation and hyperspectral single-pixel detection allow for parallel characterization of autofluorescence intensity and lifetime. Furthermore, we exploit a deep learning based data processing pipeline, to perform autofluorescence unmixing while yielding the autofluorophores' concentrations. The full scheme (setup and processing) is validated in silico and in vitro with clinically relevant autofluorophores flavin adenine dinucleotide, riboflavin, and protoporphyrin. The presented results demonstrate the potential of the methodology for macroscopically quantifying the intensity and lifetime of autofluorophores, with higher specificity for cases of mixed emissions, which are ubiquitous in autofluorescence and multiplexed in vivo imaging.;2022;10.1002/jbio.202200133
C;Optimization of the incident wavelength for Mueller matrix imaging of cervical collagen;Mueller matrix polarimetry (MMP) can be utilized to determine optical anisotropy in birefringent materials. Many factors must be optimized to improve the quality of information collected from MMP of biological samples. As part of a study on pre-term birth (PTB) that relied on measurement of the orientation and distribution of collagen in the cervix, an optimal wavelength for MMP to allow more accurate characterization of collagen in cervical tissue was sought. To this end, we developed a multispectral Mueller matrix polarimeter and conducted experiments on ex-vivo porcine cervix samples preserved in paraffin. The Mueller matrices obtained with this system were decomposed to generate orientation and retardation images. Initial findings indicate that wavelengths below 560 nm offer a more accurate characterization of collagen anisotropy in the porcine cervix.;2018;10.1117/12.2290766
J;Improved detection of metastases on magnetic resonance images by digital tissue recognition: Validation using VX-2 tumor in the rabbit;Purpose: To evaluate the ability of a prototype digital tissue recognition (DTR) system to improve the accuracy of detection of metastases on magnetic resonance (MR) images in the rabbit VX-2 tumor model. Materials and Methods: Multiple MR imaging (MRI) sequences, including pre-contrast and post-contrast enhanced T1-weighted, T2-weighted, proton-density, and fast short inversion time inversion recovery (FSTIR), were acquired for six rabbits implanted with VX-2 adenocarcinoma. For each rabbit, DTR used the MR intensity characteristics of a known tumor site to highlight other areas suspicious for tumor. Three independent veterinary radiologists with extensive experience in animal MRI interpreted the images for tumor both without and with the results of DTR. The conventional and DTR-assisted interpretations were compared to pathology. Results: Using DTR, the radiologists found an average of 13.2% more true positive sites with a 10.3% reduction in false positives compared to unassisted interpretation. The improvement for the radiologists was statistically significant (McNemar's test, P = 0.0004). The agreement between radiologists using DTR was consistently higher than for their conventional interpretations (kappa statistic). Conclusion: Compared with conventional interpretation of MR images, the use of DTR provided a statistically significant improvement in the accuracy of locating more and smaller sites of tumor. This improvement was achieved without the benefit of post-contrast images.;2003;10.1002/jmri.10342
C;Advancing biological imaging with multi-spectral optoacoustic tomography (MSOT);Multi-spectral optoacoustic tomography (MSOT) is an imaging method that can resolve fluorochromes and other reporter molecules with high sensitivity and specificity deep inside live animals and tissues. The method can penetrate for several millimeters to centimeters in tissues and offers resolutions in the 30 - 100 micron range. We discuss advances with technical implementation and in-vivo imaging applications ranging from mesoscopic imaging of drosophila and adult zebrafish to imaging various cellular functions in mice. MSOT comes with significant potential to shift the paradigm of biological imaging and become a method of choice in basic and drug discovery and in several clinical applications.;2009;10.1109/ISBI.2009.5193276
J;Multiparametric Photoacoustic Analysis of Human Thyroid Cancers In Vivo;Thyroid cancer is one of the most common cancers, with a global increase in incidence rate for both genders. Ultrasound-guided fine-needle aspiration is the current gold standard to diagnose thyroid cancers, but the results are inaccurate, leading to repeated biopsies and unnecessary surgeries. To reduce the number of unnecessary biopsies, we explored the use of multiparametric photoacoustic (PA) analysis in combination with the American Thyroid Association (ATA) Guideline (ATAP). In this study, we performed in vivo multispectral PA imaging on thyroid nodules from 52 patients, comprising 23 papillary thyroid cancer (PTC) and 29 benign cases. From the multispectral PA data, we calculated hemoglobin oxygen saturation level in the nodule area, then classified the PTC and benign nodules with multiparametric analysis. Statistical analyses showed that this multiparametric analysis of multispectral PA responses could classify PTC nodules. Combining the photoacoustically indicated probability of PTC and the ATAP led to a new scoring method that achieved a sensitivity of 83% and a specificity of 93%. This study is the first multiparametric analysis of multispectral PA data of thyroid nodules with statistical significance. As a proof of concept, the results show that the proposed new ATAP scoring can help physicians examine thyroid nodules for fine-needle aspiration biopsy, thus reducing unnecessary biopsies. Significance: This report highlights a novel photoacoustic scoring method for risk stratification of thyroid nodules, where malignancy of the nodules can be diagnosed with 83% sensitivity and 93% specificity.;2021;10.1158/0008-5472.CAN-20-3334
J;Hyperspectral Coherent Raman Scattering and Its Applications;There is abundant material information in biological samples, and each material has its unique properties and functions. Research on the production, transportation, and distribution of these materials in organisms can give us a deep understanding of biological systems. Optical microscopes with chemical specificity are powerful and reliable tools for these studies. Raman scattering technology has greatly promoted the development of biomedicine because it solves the problems caused by the fluorescence microscope. Especially, hyperspectral coherent Raman scattering (HS-CRS) microscope can perform label-free chemical imaging of substances with different components. By providing image and spectral information at the same time, the properties, content and distribution of substances in the sample can be determined. It provides scientific researchers with more dimensional material information. In recent decades, HS-CRS has been continuously updated and applied in the biomedical field. This paper introduces the main HS-CRS implementation and schemes and summarizes its application in the biomedical field.;2022;10.3788/LOP202259.0617003
J;Dark-fieldhyperspectral imaging for label free detection ofnano-bio-materials;Nanomaterials are playing an increasingly important role in cancer diagnosis and treatment. Nanoparticle (NP)-based technologies have been utilized for targeted drug delivery during chemotherapies, photodynamic therapy, and immunotherapy. Another active area of research is the toxicity studies of these nanomaterials to understand the cellular uptake and transport of these materials in cells, tissues, and environment. Traditional techniques such as transmission electron microscopy, and mass spectrometry to analyze NP-based cellular transport or toxicity effect are expensive, require extensive sample preparation, and are low-throughput. Dark-field hyperspectral imaging (DF-HSI), an integration of spectroscopy and microscopy/imaging, provides the ability to investigate cellular transport of these NPs and to quantify the distribution of them within bio-materials. DF-HSI also offers versatility in non-invasively monitoring microorganisms, single cell, and proteins. DF-HSI is a low-cost, label-free technique that is minimally invasive and is a viable choice for obtaining high-throughput quantitative molecular analyses. Multimodal imaging modalities such as Fourier transform infrared and Raman spectroscopy are also being integrated with HSI systems to enable chemical imaging of the samples. HSI technology is being applied in surgeries to obtain molecular information about the tissues in real-time. This article provides brief overview of fundamental principles of DF-HSI and its application for nanomaterials, protein-detection, single-cell analysis, microbiology, surgical procedures along with technical challenges and future integrative approach with other imaging and measurement modalities. This article is categorized under: Diagnostic Tools > in vitro Nanoparticle-Based Sensing Diagnostic Tools > in vivo Nanodiagnostics and Imaging Implantable Materials and Surgical Technologies > Nanoscale Tools and Techniques in Surgery;2021;10.1002/wnan.1661
J;Optimal Spectral Combination of a Hyperspectral Camera for Intraoperative Hemodynamic and Metabolic Brain Mapping;Intraoperative optical imaging is a localization technique for the functional areas of the human brain cortex during neurosurgical procedures. These areas are assessed by monitoring the oxygenated (HbO(2)) and deoxygenated hemoglobin (Hb) concentration changes occurring in the brain. Sometimes, the functional status of the brain is assessed using metabolic biomarkers: the oxidative state of cytochrome-c-oxidase (oxCCO). A setup composed of a white light source and a hyperspectral or a standard RGB camera could be used to identify the functional areas. The choice of the best spectral configuration is still based on an empirical approach. We propose in this study a method to define the optimal spectral combinations of a commercial hyperspectral camera for the computation of hemodynamic and metabolic brain maps. The method is based on a Monte Carlo framework that simulates the acquisition of the intrinsic optical signal following a neuronal activation. The results indicate that the optimal spectral combination of a hyperspectral camera aims to accurately quantify the HbO(2)(0.5%error), Hb (4.4%error), and oxCCO (15%error) responses in the brain following neuronal activation. We also show that RGB imaging is a low cost and accurate solution to compute Hb maps (4%error), but not accurate to compute HbO(2)(48%error) or oxCCO (1036%error) maps.;2020;10.3390/app10155158
